,date,title,isEdited,userName,review,rating,Company_name
62,2018-01-27 19:56:19,Bug when selecting meal items,False,Brandon D Williams,I tried to buy two Mac and cheese 1 rice and one steamed veggies. You can only check each item that you want. When you get to the quantity Nav page the option to select which items you want to increase is not available. They kept trying to give me 2 steamed Veges. Lol,3,Boston Market
63,2020-10-12 19:11:01,Time to give more selections. Basic food is excellent . How much chicken can you eat?,False,gaswatch64,"I had the meat loaf. Portions 5 star. Mack and cheese goo. Sweet caporal, my favorite. Work with your marketing group to overwhelm the general public and ME 👀.",5,Boston Market
64,2021-09-14 23:04:12,Can’t add rewards,False,cobaltblue1975,Got an error message trying to add rewards. Ended up paying full price for both meals. App does take Apple Pay. I’m trying to limit who has access to my card numbers and apps like yours make that difficult get with it. 10 years since we've been to one of your restaurants and your app is the first encounter and it’s not good.,1,Boston Market
65,2020-05-10 20:44:25,Diligence Always!,False,ZiffipDez,"It is without hesitation that I would recommend this particular Boston Market on Queens Blvd. just off 50th Street in Woodside, Queens. I’ve been a patron of the restaurant for almost a decade. The staff is always warm and inviting. They make special request with an exuberant ease. There has never been a visit that I left feeling unsatisfied. Keep it up guys. I’m actually stopping in today to get a meat combo to drop off at my moms in Clinton Hill, BK for Mother’s Day. 

Cheers, 

DAH
Maspeth, NY",5,Boston Market
66,2018-03-05 20:44:13,Stone mountain store is the best,False,Gemineye Beauty,Left my wallet at work on my lunch break. Princess walked me thru the order online process and got the food started for me while I placed the order. Was on limited time so i really appreciated it. Thanks again princess,5,Boston Market
67,2019-09-20 15:20:52,Great updates and easy to use,False,Marching BQ,"I love an app that is simple and to the point. This app is easy to use, very intuitive overall and results in a Great meal for my family! Way to go Boston Market!",5,Boston Market
68,2021-01-04 19:24:45,Horrible,False,fasttymz,I ordered dinner for Christmas Eve through Boston market in Fairless Hills Pennsylvania… It was the worst from start to finish… From over an hour late… under cooked turkey… And cold corn… What a joke and what a waste of $340… I wouldn’t eat or order again from Boston market if it was free… If your dinner matters to you and you have people over you are taking a big chance ordering from Boston Market,1,Boston Market
69,2021-12-06 16:54:41,The Best 🥘,False,Shortcake's,If you want something that’s very fresh stick to Boston market I love their food I’ve been eating their food for about 20 years now♥️👏,5,Boston Market
70,2020-04-15 00:02:37,Not giving,False,IHEmpty,I found the local Store does not give the true value of the dinner. Twice I ordered 1/2 a chicken and received 2pieces of chicken which was not 2 quarters. I feel I am being deceived and really don’t like going there. My girlfriend feels the same way,3,Boston Market
71,2019-05-23 22:09:27,App to order food but cant even use gift cards to pay,False,5times a week gym goer,"App to order food but cant even use gift cards to pay.
No option to pay at the door either. These options used to exist on web but got removed. Gift card payment option should be added. That’s what gift cards are created for.",2,Boston Market
72,2021-08-21 17:21:17,Wonderful app,False,@SaR0117,It’s so easy to use I can order from home and go pick it up without waiting in line!🥰😍🙌🏻💜,5,Boston Market
73,2019-09-21 22:14:25,Love the rewards program,False,KitKat9195,New app is much better and has a rewards program.   You can even get a full Thanksgiving Meal for free.  Really great rewards if you are a Boston market fan.,5,Boston Market
74,2020-11-07 14:25:10,Never works,False,BryanTampa,"I have tried unsuccessfully over a year to get this app to work but at checkout no matter what card I use, it always gives the error “the sum of payment methods must equal order total”, and the order never goes through. Every time. I always have to end up using other delivery apps or dining elsewhere.",1,Boston Market
75,2020-05-03 17:43:50,Can’t use new Gift Cards,False,52842)84,I previously made a purchase and partially used a gift card. Trying to use the app to place another order and am getting an error message for both new gift cards. Called the gift card number and confirmed their full balances. But can’t use the new gift cards with the old. What is the issue???,1,Boston Market
76,2019-09-29 17:23:25,Completely worthless app; won’t ever let me complete an order,False,Schnivvs,"I have deleted this app from my phone. Tired of wasting my time putting in an order only to get to the final stage and have it tell me “we are unable to accept your order. Please visit your local restaurant.”

Boston Market, your food is good but you app is essentially worthless if it cannot perform the one task for which I use it.",1,Boston Market
77,2019-04-18 21:26:03,Good App but needs Improvement,False,Wiesiu33,App is good but it has something missing. I like baked Cod Fish on Friday and it’s not available in the app. Also Apple pie is not available. Also I cannot add my 55 years and older discount. That’s why I no longer use this app. I place my order in person in the restaurant. 😢,3,Boston Market
78,2019-08-23 00:15:28,"If it ain’t broke, don’t fix it!",False,Njguy5280,"After completing an order, I could not submit it, getting some kind of authentication error. The app appears to have been updated; before it worked flawlessly. I ended up phoning in my order, and the person I spoke to said that a lot of customers have been getting similar errors. It will be awhile before I use this app again.",1,Boston Market
79,2021-11-15 17:49:31,Checkout fails,False,WCBOUND,"I bought a Boston Market eGift card from a Boston Market email offer. The app let me put all the info in but when I try to place the order, it just says “Error”, “Your order could not be placed. Please call the location directly to place your order.”
Something more meaningful would be helpful.",1,Boston Market
80,2020-07-22 16:51:41,Great food quick,False,joe96xp,"Love Boston Market. Get home cooked type food quickly. Sides are great, main course options are great..best sweet potatoes around. Bring back the squash casserole!!",5,Boston Market
81,2022-02-02 19:03:35,Notifications Fail,False,texasn8tive,"Every time I receive a notification on my phone for a coupon and click on it, I get an error message. The alleged coupon doesn’t show up on the app and the notification is gone. Also, I haven’t been able to order in the app. Waste of time.",1,Boston Market
82,2020-09-15 02:35:49,Order today,False,LauraR40,I order my food and it was bad first of all turkey was small piece which I don’t mind because I have the gastric bypass but the salad looks old not fresh and the cream of Spinach looked like it was the button of the pot and it looks like it been their for a while and was packed bad I will never order from this boston market again. In Yonkers,1,Boston Market
83,2020-08-26 21:24:33,Ms parham,False,herma m parham,I love the food I just want to make it as easy as possible to order and have it picked up or delivered seems like that happens OK so far,5,Boston Market
